"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2009,5,1,2,73.4375,192
2009,5,2,1,76.1904761904762,105
2009,5,2,2,66.3716814159292,113
2009,5,3,1,62.1621621621622,74
2009,5,3,2,64.6551724137931,116
2009,5,4,1,76.5765765765766,111
2009,5,4,2,79.5081967213115,122
2009,5,5,1,75.4545454545455,110
2009,5,5,2,84.6153846153846,117
2009,5,6,1,83.0687830687831,189
2009,5,6,2,81.7708333333333,192
2009,5,7,1,74.869109947644,191
2009,5,7,2,75.4464285714286,224
2009,5,8,1,87.8542510121457,247
2009,5,8,2,84.8888888888889,225
2009,5,9,1,82.7102803738318,214
2009,5,9,2,84.016393442623,244
2009,5,10,1,87.8504672897196,214
2009,5,10,2,84.7161572052402,229
2009,5,11,1,89.7009966777409,301
2009,5,11,2,90.8227848101266,316
2009,5,12,1,91.7197452229299,314
2009,5,12,2,96,300
2009,5,13,1,94.4281524926686,341
2009,5,13,2,95.8860759493671,316
2009,5,14,1,95.3846153846154,325
2009,5,14,2,95.3890489913545,347
2009,5,15,1,98.2578397212544,287
2009,5,15,2,98.5865724381625,283
2009,5,16,1,99.4974874371859,199
2009,5,16,2,97.6331360946746,169
2009,5,NA,1,72.2222222222222,18
2009,5,NA,2,75,16
2009,6,-3,1,80.0668151447661,898
2009,6,-3,2,81.6649104320337,949
2009,6,-2,1,72.65625,256
2009,6,-2,2,74.6666666666667,225
2009,6,1,1,67.0967741935484,155
2009,6,1,2,68.8118811881188,202
2009,6,2,1,58.6206896551724,87
2009,6,2,2,58.7301587301587,126
2009,6,3,1,65.5913978494624,93
2009,6,3,2,73.8805970149254,134
2009,6,4,1,61.7021276595745,141
2009,6,4,2,66.1458333333333,192
2009,6,5,1,69.7841726618705,139
2009,6,5,2,75,164
2009,6,6,1,69.0196078431373,255
2009,6,6,2,72.9032258064516,310
2009,6,7,1,71.6463414634146,328
2009,6,7,2,76.1517615176152,369
2009,6,8,1,75.0724637681159,345
2009,6,8,2,79.6019900497513,402
2009,6,9,1,81.5068493150685,438
2009,6,9,2,85.5172413793103,435
2009,6,10,1,85.5191256830601,366
2009,6,10,2,87.6640419947506,381
2009,6,11,1,91.3286713286713,715
2009,6,11,2,92.8682170542636,645
2009,6,12,1,94.5161290322581,620
2009,6,12,2,94.7284345047923,626
2009,6,13,1,94.8174322732627,849
2009,6,13,2,96.3592233009709,824
2009,6,14,1,96.6781214203895,873
2009,6,14,2,98.2702702702703,925
2009,6,15,1,98.1818181818182,605
2009,6,15,2,98.936170212766,658
2009,6,16,1,98.3818770226537,309
2009,6,16,2,99.3975903614458,332
2009,6,NA,1,73.3333333333333,30
2009,6,NA,2,81.25,32
2009,7,-3,1,72.6945491943778,5834
2009,7,-3,2,70.5111402359109,6867
2009,7,-2,1,62.8759398496241,1064
2009,7,-2,2,60.639127045986,1283
2009,7,1,1,52.0746887966805,482
2009,7,1,2,54.1062801932367,621
2009,7,2,1,47.3837209302326,344
2009,7,2,2,40.3345724907063,538
2009,7,3,1,42.3580786026201,458
2009,7,3,2,35.4330708661417,762
2009,7,4,1,44.1176470588235,646
2009,7,4,2,42.2602089268756,1053
2009,7,5,1,44.2040185471406,647
2009,7,5,2,44.2973523421589,982
2009,7,6,1,46.3215258855586,1101
2009,7,6,2,48.6006825938567,1465
2009,7,7,1,57.1428571428571,1414
2009,7,7,2,58.7458745874587,1818
2009,7,8,1,63.7070641607259,1543
2009,7,8,2,65.415244596132,1758
2009,7,9,1,70.0315457413249,1585
2009,7,9,2,73.2932823593665,1831
2009,7,10,1,75.5921052631579,1520
2009,7,10,2,78.1155015197568,1645
2009,7,11,1,83.252427184466,2472
2009,7,11,2,86.500754147813,2652
2009,7,12,1,88.498023715415,2530
2009,7,12,2,90.1694915254237,2655
2009,7,13,1,92.9741650913674,3174
2009,7,13,2,93.7867078825348,3235
2009,7,14,1,95.962389380531,3616
2009,7,14,2,96.0972850678733,3536
2009,7,15,1,97.949162333911,3462
